Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 161    Date: 29/04/02    Time: 01:19:51

 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+1.0000E-04  9.9710E-01  +8.9943E+01
+1.3895E-04  9.9710E-01  +8.9920E+01
+1.9307E-04  9.9710E-01  +8.9889E+01
+2.6827E-04  9.9710E-01  +8.9846E+01
+3.7276E-04  9.9709E-01  +8.9786E+01
+5.1795E-04  9.9709E-01  +8.9703E+01
+7.1970E-04  9.9707E-01  +8.9588E+01
+1.0000E-03  9.9705E-01  +8.9427E+01
+1.3895E-03  9.9700E-01  +8.9204E+01
+1.9307E-03  9.9691E-01  +8.8894E+01
+2.6827E-03  9.9674E-01  +8.8463E+01
+3.7276E-03  9.9641E-01  +8.7865E+01
+5.1795E-03  9.9577E-01  +8.7035E+01
+7.1970E-03  9.9453E-01  +8.5884E+01
+1.0000E-02  9.9214E-01  +8.4332E+01 
+1.3895E-02  9.8708E-01  +8.2095E+01 
+1.9307E-02  9.7792E-01  +7.9077E+01 
+2.6827E-02  9.6168E-01  +7.4992E+01 
+3.7276E-02  9.3185E-01  +6.9713E+01 
+5.1795E-02  8.8475E-01  +6.2875E+01 
+7.1970E-02  8.1186E-01  +5.4388E+01 
+1.0000E-01  7.0727E-01  +4.6197E+01 
+1.3895E-01  5.8255E-01  +3.5822E+01 
+1.9307E-01  4.5841E-01  +2.7640E+01 
+2.6827E-01  3.5026E-01  +2.0265E+01 
+3.7276E-01  2.5936E-01  +1.4608E+01 
+5.1795E-01  1.8935E-01  +1.0550E+01 
+7.1970E-01  1.3773E-01  +7.6593E+00 
+1.0000E+00  9.9736E-02  +5.1474E+00 
+1.3895E+00  7.1825E-02  +3.3107E+00 
+1.9307E+00  5.1789E-02  +1.7966E+00 
+2.6827E+00  3.7262E-02  +5.1015E-01 
+3.7276E+00  2.6816E-02  -7.2073E-01 
+5.1795E+00  1.9290E-02  -2.0502E+00 
+7.1970E+00  1.3864E-02  -3.5782E+00 
+1.0000E+01  9.9540E-03  -5.5410E+00 
+1.3895E+01  7.1239E-03  -8.0328E+00 
+1.9307E+01  5.0784E-03  -1.1296E+01 
+2.6827E+01  3.5911E-03  -1.5726E+01 
+3.7276E+01  2.5021E-03  -2.1510E+01 
+5.1795E+01  1.7005E-03  -2.8870E+01 
+7.1970E+01  1.1130E-03  -3.7621E+01 
+1.0000E+02  6.9247E-04  -4.7382E+01 
+1.3895E+02  4.1079E-04  -5.6985E+01 
+1.9307E+02  2.3220E-04  -6.5952E+01 
+2.6827E+02  1.2694E-04  -7.3886E+01 
+3.7276E+02  6.7857E-05  -8.0930E+01 
+5.1795E+02  3.5595E-05  -8.8249E+01 
+7.1970E+02  1.1195E-05  -1.2034E+02 
+1.0000E+03  9.0418E-06  -1.0779E+02 
+1.3895E+03  4.5380E-06  -1.1747E+02 
+1.9307E+03  2.2538E-06  -1.2789E+02 
+2.6827E+03  1.0862E-06  -1.3795E+02 
+3.7276E+03  4.8475E-07  -1.4799E+02 
+5.1795E+03  1.8661E-07  -1.5853E+02 
+7.1970E+03  7.5107E-08  -1.6012E+02 
+1.0000E+04  3.5875E-08  -1.7056E+02 


FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg          
Chopper Off 
+1.0000E-04  9.9710E-01  +8.9943E+01
+1.3895E-04  9.9710E-01  +8.9920E+01
+1.9307E-04  9.9710E-01  +8.9889E+01
+2.6827E-04  9.9710E-01  +8.9846E+01
+3.7276E-04  9.9709E-01  +8.9786E+01
+5.1795E-04  9.9709E-01  +8.9703E+01
+7.1970E-04  9.9707E-01  +8.9588E+01
+1.0000E-03  9.9705E-01  +8.9427E+01
+1.3895E-03  9.9700E-01  +8.9204E+01
+1.9307E-03  9.9691E-01  +8.8894E+01
+2.6827E-03  9.9674E-01  +8.8463E+01
+3.7276E-03  9.9641E-01  +8.7865E+01
+5.1795E-03  9.9577E-01  +8.7035E+01
+7.1970E-03  9.9453E-01  +8.5884E+01
+1.0000E-02  9.9214E-01  +8.4332E+01 
+1.3895E-02  9.8708E-01  +8.2095E+01 
+1.9307E-02  9.7792E-01  +7.9077E+01 
+2.6827E-02  9.6168E-01  +7.4992E+01 
+3.7276E-02  9.3185E-01  +6.9713E+01 
+5.1795E-02  8.8475E-01  +6.2875E+01 
+7.1970E-02  8.1186E-01  +5.4388E+01 
+1.0000E-01  7.0727E-01  +4.6197E+01 
+1.3895E-01  5.8255E-01  +3.5822E+01 
+1.9307E-01  4.5841E-01  +2.7640E+01 
+2.6827E-01  3.5026E-01  +2.0265E+01 
+3.7276E-01  2.5936E-01  +1.4608E+01 
+5.1795E-01  1.8935E-01  +1.0550E+01 
+7.1970E-01  1.3773E-01  +7.6593E+00 
+1.0000E+00  9.9736E-02  +5.1474E+00 
+1.3895E+00  7.1825E-02  +3.3107E+00 
+1.9307E+00  5.1789E-02  +1.7966E+00 
+2.6827E+00  3.7262E-02  +5.1015E-01 
+3.7276E+00  2.6816E-02  -7.2073E-01 
+5.1795E+00  1.9290E-02  -2.0502E+00 
+7.1970E+00  1.3864E-02  -3.5782E+00 
+1.0000E+01  9.9540E-03  -5.5410E+00 
+1.3895E+01  7.1239E-03  -8.0328E+00 
+1.9307E+01  5.0784E-03  -1.1296E+01 
+2.6827E+01  3.5911E-03  -1.5726E+01 
+3.7276E+01  2.5021E-03  -2.1510E+01 
+5.1795E+01  1.7005E-03  -2.8870E+01 
+7.1970E+01  1.1130E-03  -3.7621E+01 
+1.0000E+02  6.9247E-04  -4.7382E+01 
+1.3895E+02  4.1079E-04  -5.6985E+01 
+1.9307E+02  2.3220E-04  -6.5952E+01 
+2.6827E+02  1.2694E-04  -7.3886E+01 
+3.7276E+02  6.7857E-05  -8.0930E+01 
+5.1795E+02  3.5595E-05  -8.8249E+01 
+7.1970E+02  1.1195E-05  -1.2034E+02 
+1.0000E+03  9.0418E-06  -1.0779E+02 
+1.3895E+03  4.5380E-06  -1.1747E+02 
+1.9307E+03  2.2538E-06  -1.2789E+02 
+2.6827E+03  1.0862E-06  -1.3795E+02 
+3.7276E+03  4.8475E-07  -1.4799E+02 
+5.1795E+03  1.8661E-07  -1.5853E+02 
+7.1970E+03  7.5107E-08  -1.6012E+02 
+1.0000E+04  3.5875E-08  -1.7056E+02
