Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 157    Date: 29/04/02    Time: 00:56:16

 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
5.579945e-004 1.998000e-002 8.999900e+001
7.783951e-004 1.998000e-002 8.999861e+001
1.085851e-003 1.998000e-002 8.999806e+001
1.514748e-003 1.998000e-002 8.999729e+001
2.113053e-003 1.998000e-002 8.999622e+001
2.947681e-003 1.998000e-002 8.999472e+001
4.111977e-003 1.998000e-002 8.999264e+001
5.736153e-003 1.998000e-002 8.998973e+001
8.001858e-003 1.998000e-002 8.998567e+001
1.116248e-002 1.998000e-002 8.998001e+001
1.557151e-002 1.998000e-002 8.997212e+001
2.172205e-002 1.998000e-002 8.996111e+001
3.030197e-002 1.998000e-002 8.994574e+001
4.227083e-002 1.998000e-002 8.992431e+001
5.896724e-002 1.998000e-002 8.989442e+001
8.225850e-002 1.998000e-002 8.985272e+001
1.147495e-001 1.998000e-002 8.979454e+001
1.600740e-001 1.998000e-002 8.971339e+001
2.233011e-001 1.998000e-002 8.960019e+001
3.115020e-001 1.998000e-002 8.944228e+001
4.000000e-001 1.998000e-002 8.924200e+001
5.871200e-001 1.996877e-002 8.892192e+001
8.618000e-001 1.996453e-002 8.845172e+001
1.264900e+000 1.995053e-002 8.778391e+001
1.856600e+000 1.995250e-002 8.675930e+001
2.725200e+000 1.992341e-002 8.529606e+001
4.000000e+000 1.983400e-002 8.313300e+001
5.871200e+000 1.961319e-002 7.996843e+001
8.618000e+000 1.932995e-002 7.551356e+001
1.264900e+001 1.867172e-002 6.923223e+001
1.856600e+001 1.749688e-002 6.080529e+001
2.725200e+001 1.542873e-002 5.068375e+001
4.000000e+001 1.279900e-002 3.984900e+001
5.871200e+001 9.831775e-003 2.949765e+001
8.618000e+001 7.233048e-003 2.105093e+001
1.264900e+002 5.111534e-003 1.409750e+001
1.856700e+002 3.548570e-003 9.293431e+000
2.725200e+002 2.434734e-003 5.976369e+000
4.000000e+002 1.663800e-003 3.197200e+000
5.871300e+002 1.136940e-003 9.857603e-001
8.618000e+002 7.750190e-004 -1.161424e+000
1.264900e+003 5.278544e-004 -3.477448e+000
1.856700e+003 3.595111e-004 -6.192294e+000
2.725200e+003 2.449857e-004 -9.986975e+000
4.000100e+003 1.668558e-004 -1.528641e+001
5.871300e+003 1.135127e-004 -2.304733e+001
8.618000e+003 7.653188e-005 -3.435589e+001
1.264900e+004 5.086195e-005 -5.276124e+001
1.856600e+004 3.118188e-005 -7.402264e+001
2.725200e+004 1.620126e-005 -1.205453e+002
4.000100e+004 6.835496e-006 -1.467641e+002
5.871300e+004 2.683685e-006 5.078921e+001
6.000000e+004 2.533700e-006 1.744200e+002


FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg          
Chopper Off                             
4.000000e-001 1.041300e-002 1.491600e+002
5.558000e-001 1.302100e-002 1.402800e+002
7.723000e-001 1.549700e-002 1.306500e+002
1.073100e+000 1.753200e-002 1.211000e+002
1.491000e+000 1.894100e-002 1.123800e+002
2.071800e+000 1.979300e-002 1.050100e+002
2.878700e+000 2.025700e-002 9.857700e+001
4.000000e+000 2.052100e-002 9.283500e+001
5.558000e+000 2.051400e-002 8.734500e+001
7.723000e+000 2.033100e-002 8.156900e+001
1.073100e+001 1.989800e-002 7.511800e+001
1.491000e+001 1.907200e-002 6.766600e+001
2.071800e+001 1.756200e-002 5.882800e+001
2.878800e+001 1.556900e-002 4.915600e+001
4.000000e+001 1.308400e-002 3.934600e+001
5.558000e+001 1.055500e-002 3.045600e+001
7.723000e+001 8.003500e-003 2.261900e+001
1.073100e+002 5.977400e-003 1.642600e+001
1.491000e+002 4.388900e-003 1.172900e+001
2.071700e+002 3.189000e-003 8.110300e+000
2.878800e+002 2.310100e-003 5.357500e+000
4.000000e+002 1.666800e-003 3.109300e+000
5.558000e+002 1.200000e-003 1.207300e+000
7.723000e+002 8.646500e-004 -6.560400e-001
1.073100e+003 6.230900e-004 -2.437300e+000
1.491100e+003 4.487400e-004 -4.576500e+000
2.071800e+003 3.228400e-004 -7.232700e+000
2.878800e+003 2.323600e-004 -1.066700e+001
4.000000e+003 1.672000e-004 -1.530200e+001
5.558000e+003 1.202200e-004 -2.175200e+001
7.723000e+003 8.598100e-005 -3.084700e+001
1.073100e+004 6.085000e-005 -4.354800e+001
1.491000e+004 4.211900e-005 -6.188100e+001
2.071800e+004 2.648000e-005 -8.666000e+001
2.878800e+004 1.451800e-005 -1.168100e+002
4.000000e+004 6.805100e-006 -1.472900e+002
5.558100e+004 3.067500e-006 -1.780600e+002
6.000000e+004 2.511100e-006 1.741600e+002
