Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 650    Date: 19/09/13    Time: 13:10:11


 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
5.579945e-004 2.003100e-002 8.999900e+001
7.783951e-004 2.003100e-002 8.999861e+001
1.085851e-003 2.003100e-002 8.999806e+001
1.514748e-003 2.003100e-002 8.999729e+001
2.113053e-003 2.003100e-002 8.999622e+001
2.947681e-003 2.003100e-002 8.999472e+001
4.111977e-003 2.003100e-002 8.999264e+001
5.736153e-003 2.003100e-002 8.998973e+001
8.001858e-003 2.003100e-002 8.998567e+001
1.116248e-002 2.003100e-002 8.998001e+001
1.557151e-002 2.003100e-002 8.997212e+001
2.172205e-002 2.003100e-002 8.996111e+001
3.030197e-002 2.003100e-002 8.994574e+001
4.227083e-002 2.003100e-002 8.992431e+001
5.896724e-002 2.003100e-002 8.989442e+001
8.225850e-002 2.003100e-002 8.985272e+001
+1.0000E-01  +2.0002E-01  +8.8572E+01
+1.2328E-01  +2.0010E-01  +8.8234E+01
+1.5199E-01  +1.9995E-01  +8.7840E+01
+1.8738E-01  +1.9986E-01  +8.7351E+01
+2.3101E-01  +1.9984E-01  +8.6740E+01
+2.8480E-01  +1.9965E-01  +8.5978E+01
+3.5112E-01  +1.9961E-01  +8.5066E+01
+4.3288E-01  +1.9953E-01  +8.3917E+01
+5.3367E-01  +1.9857E-01  +8.2509E+01
+6.5790E-01  +1.9768E-01  +8.0844E+01
+8.1110E-01  +1.9615E-01  +7.8783E+01
+1.0000E+00  +1.9445E-01  +7.6168E+01
+1.2329E+00  +1.9162E-01  +7.3181E+01
+1.5199E+00  +1.8761E-01  +6.9678E+01
+1.8738E+00  +1.8206E-01  +6.5502E+01
+2.3101E+00  +1.7442E-01  +6.0654E+01
+2.8481E+00  +1.6440E-01  +5.5305E+01
+3.5112E+00  +1.5209E-01  +4.9567E+01
+4.3288E+00  +1.3769E-01  +4.3541E+01
+5.3368E+00  +1.2221E-01  +3.7657E+01
+6.5790E+00  +1.0609E-01  +3.2037E+01
+8.1110E+00  +9.0504E-02  +2.6877E+01
+1.0000E+01  +7.6109E-02  +2.2329E+01
+1.2329E+01  +6.3508E-02  +1.8337E+01
+1.5199E+01  +5.2319E-02  +1.5131E+01
+1.8738E+01  +4.3050E-02  +1.2169E+01
+2.3102E+01  +3.5110E-02  +9.8796E+00
+2.8481E+01  +2.8679E-02  +8.1085E+00
+3.5112E+01  +2.3294E-02  +6.4655E+00
+4.3288E+01  +1.8925E-02  +5.2047E+00
+5.3368E+01  +1.5384E-02  +3.9949E+00
+6.5790E+01  +1.2499E-02  +3.0625E+00
+8.1110E+01  +1.0136E-02  +2.2781E+00
+1.0000E+02  +8.2295E-03  +1.5927E+00
+1.2329E+02  +6.6753E-03  +9.4694E-01
+1.5199E+02  +5.4046E-03  +3.4286E-01
+1.8739E+02  +4.3945E-03  -1.9523E-01
+2.3102E+02  +3.5649E-03  -7.7797E-01
+2.8481E+02  +2.8915E-03  -1.3707E+00
+3.5113E+02  +2.3440E-03  -2.0336E+00
+4.3289E+02  +1.9010E-03  -2.8051E+00
+5.3368E+02  +1.5405E-03  -3.6860E+00
+6.5790E+02  +1.2479E-03  -4.7036E+00
+8.1120E+02  +1.0108E-03  -5.9382E+00
+1.0000E+03  +8.1862E-04  -7.4236E+00
+1.2329E+03  +6.6210E-04  -9.2392E+00
+1.5200E+03  +5.3476E-04  -1.1451E+01
+1.8739E+03  +4.3143E-04  -1.4165E+01
+2.3102E+03  +3.4757E-04  -1.7460E+01
+2.8481E+03  +2.7785E-04  -2.1874E+01
+3.5113E+03  +2.1943E-04  -2.7010E+01
+4.3289E+03  +1.7021E-04  -3.3180E+01
+5.3369E+03  +1.2773E-04  -3.9689E+01
+6.5795E+03  +9.4035E-05  -4.4640E+01
+8.1115E+03  +7.1244E-05  -4.9186E+01
+1.0000E+04  +5.4636E-05  -5.5829E+01
                                        
 FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg          
Chopper Off
+1.0000E+00  +1.9013E-01  +1.1177E+02
+1.2328E+00  +2.0015E-01  +1.0242E+02
+1.5199E+00  +2.0501E-01  +9.2861E+01
+1.8738E+00  +2.0405E-01  +8.3227E+01
+2.3101E+00  +1.9739E-01  +7.3669E+01
+2.8480E+00  +1.8540E-01  +6.4325E+01
+3.5112E+00  +1.6957E-01  +5.5409E+01
+4.3288E+00  +1.5079E-01  +4.7082E+01
+5.3367E+00  +1.3121E-01  +3.9527E+01
+6.5790E+00  +1.1195E-01  +3.2857E+01
+8.1110E+00  +9.4209E-02  +2.7163E+01
+1.0000E+01  +7.8321E-02  +2.2273E+01
+1.2329E+01  +6.4449E-02  +1.8091E+01
+1.5199E+01  +5.2995E-02  +1.4624E+01
+1.8738E+01  +4.3236E-02  +1.2085E+01
+2.3101E+01  +3.5406E-02  +9.7703E+00
+2.8481E+01  +2.8724E-02  +7.8745E+00 
+3.5112E+01  +2.3389E-02  +6.2010E+00
+4.3288E+01  +1.9019E-02  +4.9256E+00
+5.3368E+01  +1.5410E-02  +3.8518E+00
+6.5790E+01  +1.2505E-02  +2.9400E+00
+8.1110E+01  +1.0154E-02  +2.1792E+00
+1.0000E+02  +8.2378E-03  +1.5272E+00
+1.2329E+02  +6.6805E-03  +8.9139E-01
+1.5199E+02  +5.4094E-03  +3.8939E-01
+1.8738E+02  +4.3989E-03  -2.2173E-01
+2.3102E+02  +3.5687E-03  -7.8548E-01
+2.8481E+02  +2.8935E-03  -1.3876E+00
+3.5112E+02  +2.3466E-03  -2.0630E+00
+4.3288E+02  +1.9027E-03  -2.8056E+00
+5.3368E+02  +1.5422E-03  -3.6789E+00
+6.5790E+02  +1.2495E-03  -4.6917E+00
