Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 158    Date: 29/04/02    Time: 01:18:21

 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
5.579945e-004 2.003400e-002 8.999900e+001
7.783951e-004 2.003400e-002 8.999861e+001
1.085851e-003 2.003400e-002 8.999806e+001
1.514748e-003 2.003400e-002 8.999729e+001
2.113053e-003 2.003400e-002 8.999622e+001
2.947681e-003 2.003400e-002 8.999472e+001
4.111977e-003 2.003400e-002 8.999264e+001
5.736153e-003 2.003400e-002 8.998973e+001
8.001858e-003 2.003400e-002 8.998567e+001
1.116248e-002 2.003400e-002 8.998001e+001
1.557151e-002 2.003400e-002 8.997212e+001
2.172205e-002 2.003400e-002 8.996111e+001
3.030197e-002 2.003400e-002 8.994574e+001
4.227083e-002 2.003400e-002 8.992431e+001
5.896724e-002 2.003400e-002 8.989442e+001
8.225850e-002 2.003400e-002 8.985272e+001
1.147495e-001 2.003400e-002 8.979454e+001
1.600740e-001 2.003400e-002 8.971339e+001
2.233011e-001 2.003400e-002 8.960019e+001
3.115020e-001 2.003400e-002 8.944228e+001
4.000000e-001 2.003400e-002 8.924400e+001
5.871200e-001 2.003240e-002 8.894636e+001
8.618000e-001 2.002709e-002 8.845563e+001
1.264900e+000 2.000584e-002 8.771935e+001
1.856600e+000 2.000717e-002 8.677005e+001
2.725200e+000 1.998354e-002 8.529408e+001
4.000000e+000 1.992600e-002 8.314000e+001
5.871200e+000 1.977198e-002 8.002554e+001
8.618000e+000 1.941466e-002 7.548378e+001
1.264900e+001 1.874258e-002 6.924933e+001
1.856600e+001 1.739018e-002 6.053336e+001
2.725200e+001 1.545413e-002 5.067821e+001
4.000000e+001 1.282200e-002 3.991700e+001
5.871200e+001 9.858932e-003 2.882086e+001
8.618000e+001 7.243080e-003 2.112843e+001
1.264900e+002 5.120368e-003 1.438974e+001
1.856700e+002 3.547206e-003 9.512929e+000
2.725200e+002 2.438149e-003 5.981894e+000
4.000000e+002 1.665500e-003 3.256700e+000
5.871300e+002 1.137545e-003 1.002363e+000
8.618000e+002 7.768117e-004 -1.055669e+000
1.264900e+003 5.301208e-004 -3.287226e+000
1.856700e+003 3.613518e-004 -5.972580e+000
2.725200e+003 2.468369e-004 -9.840782e+000
4.000100e+003 1.686758e-004 -1.521141e+001
5.871300e+003 1.155034e-004 -2.341695e+001
8.618000e+003 7.728535e-005 -3.567899e+001
1.264900e+004 5.036589e-005 -5.446707e+001
1.856600e+004 2.995034e-005 -7.505206e+001
2.725200e+004 1.543100e-005 -1.186241e+002
4.000100e+004 6.911020e-006 -1.433142e+002
5.871300e+004 2.756021e-006 5.125540e+001
6.000000e+004 2.594200e-006 1.748000e+002


FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg          
Chopper Off                             
4.000000e-001 1.016800e-002 1.495900e+002
5.558000e-001 1.276600e-002 1.408500e+002
7.723000e-001 1.524400e-002 1.312300e+002
1.073100e+000 1.727900e-002 1.216000e+002
1.491000e+000 1.874900e-002 1.129500e+002
2.071800e+000 1.961800e-002 1.054000e+002
2.878700e+000 2.016000e-002 9.888000e+001
4.000000e+000 2.036900e-002 9.313400e+001
5.558000e+000 2.040400e-002 8.757700e+001
7.723000e+000 2.022300e-002 8.179600e+001
1.073100e+001 1.977300e-002 7.539700e+001
1.491000e+001 1.893700e-002 6.779200e+001
2.071800e+001 1.773800e-002 5.880500e+001
2.878800e+001 1.557200e-002 4.940800e+001
4.000000e+001 1.305000e-002 3.967400e+001
5.558000e+001 1.033100e-002 3.022600e+001
7.723000e+001 8.007800e-003 2.279000e+001
1.073100e+002 5.977400e-003 1.660500e+001
1.491000e+002 4.394700e-003 1.192200e+001
2.071700e+002 3.201400e-003 8.224000e+000
2.878800e+002 2.313900e-003 5.475500e+000
4.000000e+002 1.670600e-003 3.242500e+000
5.558000e+002 1.204200e-003 1.332300e+000
7.723000e+002 8.663700e-004 -4.310700e-001
1.073100e+003 6.254200e-004 -2.249800e+000
1.491100e+003 4.509100e-004 -4.352900e+000
2.071800e+003 3.250000e-004 -7.007200e+000
2.878800e+003 2.342900e-004 -1.046100e+001
4.000000e+003 1.690600e-004 -1.513600e+001
5.558000e+003 1.223700e-004 -2.185800e+001
7.723000e+003 8.722000e-005 -3.175900e+001
1.073100e+004 6.093000e-005 -4.485400e+001
1.491000e+004 4.136700e-005 -6.320000e+001
2.071800e+004 2.541000e-005 -8.670200e+001
2.878800e+004 1.403400e-005 -1.141600e+002
4.000000e+004 6.960600e-006 -1.437800e+002
5.558100e+004 3.200300e-006 -1.774000e+002
6.000000e+004 2.598400e-006 1.743600e+002
