Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 159    Date: 29/04/02    Time: 01:38:17

 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
5.579945e-004 2.004500e-002 8.999900e+001
7.783951e-004 2.004500e-002 8.999861e+001
1.085851e-003 2.004500e-002 8.999806e+001
1.514748e-003 2.004500e-002 8.999729e+001
2.113053e-003 2.004500e-002 8.999622e+001
2.947681e-003 2.004500e-002 8.999472e+001
4.111977e-003 2.004500e-002 8.999264e+001
5.736153e-003 2.004500e-002 8.998973e+001
8.001858e-003 2.004500e-002 8.998567e+001
1.116248e-002 2.004500e-002 8.998001e+001
1.557151e-002 2.004500e-002 8.997212e+001
2.172205e-002 2.004500e-002 8.996111e+001
3.030197e-002 2.004500e-002 8.994574e+001
4.227083e-002 2.004500e-002 8.992431e+001
5.896724e-002 2.004500e-002 8.989442e+001
8.225850e-002 2.004500e-002 8.985272e+001
1.147495e-001 2.004500e-002 8.979454e+001
1.600740e-001 2.004500e-002 8.971339e+001
2.233011e-001 2.004500e-002 8.960019e+001
3.115020e-001 2.004500e-002 8.944228e+001
4.000000e-001 2.004500e-002 8.923700e+001
5.871200e-001 2.003294e-002 8.890172e+001
8.618000e-001 2.003316e-002 8.841667e+001
1.264900e+000 2.002881e-002 8.773313e+001
1.856600e+000 2.003724e-002 8.671821e+001
2.725200e+000 2.000127e-002 8.525406e+001
4.000000e+000 1.990200e-002 8.306300e+001
5.871200e+000 1.968476e-002 7.984723e+001
8.618000e+000 1.943045e-002 7.538284e+001
1.264900e+001 1.875114e-002 6.900323e+001
1.856600e+001 1.728900e-002 6.091046e+001
2.725200e+001 1.544860e-002 5.073449e+001
4.000000e+001 1.276400e-002 3.955900e+001
5.871200e+001 9.864691e-003 3.016699e+001
8.618000e+001 7.175570e-003 2.079607e+001
1.264900e+002 5.077835e-003 1.451349e+001
1.856700e+002 3.522551e-003 9.655584e+000
2.725200e+002 2.423852e-003 6.131862e+000
4.000000e+002 1.661000e-003 3.472800e+000
5.871300e+002 1.133484e-003 1.220028e+000
8.618000e+002 7.739864e-004 -8.778851e-001
1.264900e+003 5.276573e-004 -3.058267e+000
1.856700e+003 3.598568e-004 -5.658534e+000
2.725200e+003 2.460280e-004 -9.399881e+000
4.000100e+003 1.681958e-004 -1.461340e+001
5.871300e+003 1.151230e-004 -2.235970e+001
8.618000e+003 7.800841e-005 -3.389672e+001
1.264900e+004 5.202832e-005 -5.256424e+001
1.856600e+004 3.196879e-005 -7.429230e+001
2.725200e+004 1.652501e-005 -1.212291e+002
4.000100e+004 6.950988e-006 -1.475942e+002
5.871300e+004 2.699922e-006 4.935934e+001
6.000000e+004 2.545500e-006 1.729800e+002


FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg          
Chopper Off                             
4.000000e-001 1.020400e-002 1.499000e+002
5.558000e-001 1.282500e-002 1.411800e+002
7.723000e-001 1.536300e-002 1.316200e+002
1.073100e+000 1.743000e-002 1.218700e+002
1.491000e+000 1.896200e-002 1.132000e+002
2.071800e+000 1.985800e-002 1.055500e+002
2.878700e+000 2.038300e-002 9.896600e+001
4.000000e+000 2.060800e-002 9.315900e+001
5.558000e+000 2.063700e-002 8.750700e+001
7.723000e+000 2.046500e-002 8.156900e+001
1.073100e+001 2.000700e-002 7.502600e+001
1.491000e+001 1.908000e-002 6.746700e+001
2.071800e+001 1.760700e-002 5.913200e+001
2.878800e+001 1.563000e-002 4.879300e+001
4.000000e+001 1.307700e-002 3.915600e+001
5.558000e+001 1.038200e-002 3.023900e+001
7.723000e+001 7.990700e-003 2.248100e+001
1.073100e+002 5.961000e-003 1.641600e+001
1.491000e+002 4.378300e-003 1.173600e+001
2.071700e+002 3.183700e-003 8.117700e+000
2.878800e+002 2.301800e-003 5.447200e+000
4.000000e+002 1.660200e-003 3.261600e+000
5.558000e+002 1.198500e-003 1.379600e+000
7.723000e+002 8.646600e-004 -2.464300e-001
1.073100e+003 6.230600e-004 -2.077100e+000
1.491100e+003 4.493000e-004 -4.111000e+000
2.071800e+003 3.240800e-004 -6.692000e+000
2.878800e+003 2.338000e-004 -1.006100e+001
4.000000e+003 1.687600e-004 -1.463700e+001
5.558000e+003 1.219200e-004 -2.105200e+001
7.723000e+003 8.765800e-005 -3.029600e+001
1.073100e+004 6.223300e-005 -4.324100e+001
1.491000e+004 4.309100e-005 -6.194300e+001
2.071800e+004 2.699000e-005 -8.689300e+001
2.878800e+004 1.476400e-005 -1.168700e+002
4.000000e+004 6.975600e-006 -1.474100e+002
5.558100e+004 3.140100e-006 -1.790800e+002
6.000000e+004 2.561200e-006 1.729600e+002
