Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 160    Date: 29/04/02    Time: 02:08:54

 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
5.579945e-004 2.001900e-002 8.999900e+001
7.783951e-004 2.001900e-002 8.999861e+001
1.085851e-003 2.001900e-002 8.999806e+001
1.514748e-003 2.001900e-002 8.999729e+001
2.113053e-003 2.001900e-002 8.999622e+001
2.947681e-003 2.001900e-002 8.999472e+001
4.111977e-003 2.001900e-002 8.999264e+001
5.736153e-003 2.001900e-002 8.998973e+001
8.001858e-003 2.001900e-002 8.998567e+001
1.116248e-002 2.001900e-002 8.998001e+001
1.557151e-002 2.001900e-002 8.997212e+001
2.172205e-002 2.001900e-002 8.996111e+001
3.030197e-002 2.001900e-002 8.994574e+001
4.227083e-002 2.001900e-002 8.992431e+001
5.896724e-002 2.001900e-002 8.989442e+001
8.225850e-002 2.001900e-002 8.985272e+001
1.147495e-001 2.001900e-002 8.979454e+001
1.600740e-001 2.001900e-002 8.971339e+001
2.233011e-001 2.001900e-002 8.960019e+001
3.115020e-001 2.001900e-002 8.944228e+001
4.000000e-001 2.001900e-002 8.920900e+001
5.871200e-001 2.001688e-002 8.892324e+001
8.618000e-001 2.001733e-002 8.847200e+001
1.264900e+000 2.001802e-002 8.776694e+001
1.856600e+000 2.001255e-002 8.673076e+001
2.725200e+000 1.998293e-002 8.526849e+001
4.000000e+000 1.990900e-002 8.309600e+001
5.871200e+000 1.979462e-002 7.996170e+001
8.618000e+000 1.936854e-002 7.541740e+001
1.264900e+001 1.871197e-002 6.911826e+001
1.856600e+001 1.740273e-002 6.096076e+001
2.725200e+001 1.543378e-002 5.078267e+001
4.000000e+001 1.279900e-002 3.969500e+001
5.871200e+001 9.777832e-003 2.905959e+001
8.618000e+001 7.218387e-003 2.104155e+001
1.264900e+002 5.095758e-003 1.441067e+001
1.856700e+002 3.535710e-003 9.633928e+000
2.725200e+002 2.432158e-003 6.031922e+000
4.000000e+002 1.662400e-003 3.458000e+000
5.871300e+002 1.136247e-003 1.225651e+000
8.618000e+002 7.752993e-004 -8.633106e-001
1.264900e+003 5.291996e-004 -2.991196e+000
1.856700e+003 3.613818e-004 -5.640146e+000
2.725200e+003 2.470706e-004 -9.365263e+000
4.000100e+003 1.690658e-004 -1.461441e+001
5.871300e+003 1.158448e-004 -2.242477e+001
8.618000e+003 7.849581e-005 -3.448281e+001
1.264900e+004 5.229343e-005 -5.137174e+001
1.856600e+004 3.201039e-005 -8.146906e+001
2.725200e+004 1.646713e-005 -1.042255e+002
4.000100e+004 6.967588e-006 -1.483333e+002
5.871300e+004 2.669602e-006 1.811364e+002
6.000000e+004 2.513400e-006 1.715100e+002


FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg          
Chopper Off                             
4.000000e-001 1.025200e-002 1.495600e+002
5.558000e-001 1.287800e-002 1.408400e+002
7.723000e-001 1.536600e-002 1.312500e+002
1.073100e+000 1.745000e-002 1.217800e+002
1.491000e+000 1.891200e-002 1.129400e+002
2.071800e+000 1.982300e-002 1.054300e+002
2.878700e+000 2.034800e-002 9.888200e+001
4.000000e+000 2.058900e-002 9.306600e+001
5.558000e+000 2.059700e-002 8.747800e+001
7.723000e+000 2.043600e-002 8.158300e+001
1.073100e+001 1.996100e-002 7.510200e+001
1.491000e+001 1.911500e-002 6.746200e+001
2.071800e+001 1.766300e-002 5.862700e+001
2.878800e+001 1.562900e-002 4.919200e+001
4.000000e+001 1.309300e-002 3.921600e+001
5.558000e+001 1.031100e-002 3.074800e+001
7.723000e+001 7.997300e-003 2.253700e+001
1.073100e+002 5.966900e-003 1.643100e+001
1.491000e+002 4.377800e-003 1.175600e+001
2.071700e+002 3.188000e-003 8.177200e+000
2.878800e+002 2.304500e-003 5.442500e+000
4.000000e+002 1.664900e-003 3.266600e+000
5.558000e+002 1.200300e-003 1.508500e+000
7.723000e+002 8.654600e-004 -3.357300e-001
1.073100e+003 6.244200e-004 -2.007900e+000
1.491100e+003 4.505500e-004 -4.070400e+000
2.071800e+003 3.250800e-004 -6.660000e+000
2.878800e+003 2.346900e-004 -1.005400e+001
4.000000e+003 1.695200e-004 -1.468100e+001
5.558000e+003 1.226300e-004 -2.119800e+001
7.723000e+003 8.811300e-005 -3.065100e+001
1.073100e+004 6.249400e-005 -4.378600e+001
1.491000e+004 4.313400e-005 -6.274100e+001
2.071800e+004 2.682800e-005 -8.779700e+001
2.878800e+004 1.461600e-005 -1.175200e+002
4.000000e+004 6.945100e-006 -1.481300e+002
5.558100e+004 3.096700e-006 1.795400e+002
6.000000e+004 2.514400e-006 1.716400e+002
